City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Marion,US,57.2,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
3,Alta Floresta,BR,71.26,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
5,Otane,NZ,68.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
6,Atar,MR,79.56,overcast clouds,20.5169,-13.0499,Oumou Elghoura
10,Yellowknife,CA,41.0,few clouds,62.456,-114.3525,The Explorer Hotel
11,Rikitea,PF,77.92,few clouds,-23.1203,-134.9692,Pension Maro'i
12,Atambua,ID,79.52,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
13,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
14,Tura,IN,69.31,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
18,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
19,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
20,Lancaster,US,60.8,overcast clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
24,Ribeira Grande,PT,61.59,broken clouds,38.5167,-28.7,Quinta da Meia Eira
26,Asau,RO,41.0,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
30,Hobart,AU,63.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
31,Bredasdorp,ZA,66.2,light rain,-34.5322,20.0403,Bredasdorp Country Manor
32,Misratah,LY,60.26,clear sky,32.3754,15.0925,فندق الماسة
37,Kodiak,US,50.0,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
40,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
42,Ushuaia,AR,53.6,scattered clouds,-54.8,-68.3,Albatros Hotel
48,Mataura,NZ,63.0,broken clouds,-46.1927,168.8643,Ellie's Villa
51,Muros,ES,55.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
52,Tonantins,BR,71.65,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
53,Lyngseidet,NO,41.0,clear sky,69.5763,20.2189,Magic Mountain Lodge
54,Hermanus,ZA,64.99,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
55,Chapais,CA,42.8,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
56,Albany,US,51.8,overcast clouds,42.6001,-73.9662,
58,Bluff,NZ,63.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
59,Obo,CF,72.81,overcast clouds,5.3998,26.4869,
60,Port Alfred,ZA,74.53,clear sky,-33.5906,26.891,The Halyards Hotel
