City ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
0,Mokolo,CM,10.7398,13.8019,83.43,19,99,4.63,overcast clouds
1,Marion,US,39.7684,-86.1555,57.2,50,75,6.91,broken clouds
2,Severo-Kurilsk,RU,50.6789,156.125,35.19,96,100,27.98,moderate rain
3,Alta Floresta,BR,-9.8756,-56.0861,71.26,95,100,1.45,overcast clouds
4,Krasnoselkup,RU,65.7,82.4667,-6.03,92,6,18.19,clear sky
5,Otane,NZ,-39.8833,176.6333,68.0,59,92,4.0,overcast clouds
6,Atar,MR,20.5169,-13.0499,79.56,14,97,6.87,overcast clouds
7,Tasiilaq,GL,65.6145,-37.6368,17.6,67,0,4.61,clear sky
8,Buchanan,LR,5.8808,-10.0467,80.71,82,17,7.74,few clouds
9,Provideniya,RU,64.3833,-173.3,30.2,69,0,6.71,clear sky
10,Yellowknife,CA,62.456,-114.3525,41.0,48,20,10.36,few clouds
11,Rikitea,PF,-23.1203,-134.9692,77.92,75,11,6.91,few clouds
12,Atambua,ID,-9.1061,124.8925,79.52,61,100,2.93,overcast clouds
13,Kapaa,US,22.0752,-159.319,78.8,61,40,13.8,scattered clouds
14,Tura,IN,25.5198,90.2201,69.31,85,0,4.09,clear sky
15,Faanui,PF,-16.4833,-151.75,82.67,69,0,13.18,clear sky
16,Saskylakh,RU,71.9167,114.0833,4.44,90,94,9.37,overcast clouds
17,Mnogovershinnyy,RU,53.9353,139.9242,29.41,98,100,8.68,snow
18,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds
19,Cape Town,ZA,-33.9258,18.4232,68.0,94,0,14.97,clear sky
20,Lancaster,US,40.2504,-76.2499,60.8,41,90,2.04,overcast clouds
21,Leningradskiy,RU,69.3833,178.4167,32.27,65,0,9.82,clear sky
22,Tessalit,ML,20.1986,1.0114,81.3,12,0,13.89,clear sky
23,Kulhudhuffushi,MV,6.6221,73.07,83.89,72,80,7.61,broken clouds
24,Ribeira Grande,PT,38.5167,-28.7,61.59,83,82,7.34,broken clouds
25,Port Moresby,PG,-9.4431,147.1797,86.0,70,40,4.61,haze
26,Asau,RO,46.4333,26.4,41.0,67,100,1.25,overcast clouds
27,Cherskiy,RU,68.75,161.3,22.53,80,59,16.6,broken clouds
28,Atuona,PF,-9.8,-139.0333,80.28,79,18,18.79,few clouds
29,Iqaluit,CA,63.7506,-68.5145,17.6,73,75,4.61,broken clouds
30,Hobart,AU,-42.8794,147.3294,63.0,45,75,19.57,broken clouds
31,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,98,6.91,light rain
32,Misratah,LY,32.3754,15.0925,60.26,78,10,8.19,clear sky
33,Paracuru,BR,-3.41,-39.0306,80.6,83,40,6.91,scattered clouds
34,Opuwo,NA,-18.0607,13.84,71.35,42,94,8.57,overcast clouds
35,Champerico,GT,14.3,-91.9167,86.0,74,75,6.91,broken clouds
36,Kurilsk,RU,45.2333,147.8833,39.38,94,100,14.09,overcast clouds
37,Kodiak,US,57.79,-152.4072,50.0,66,75,18.41,broken clouds
38,Dudinka,RU,69.4058,86.1778,-6.59,97,49,9.95,scattered clouds
39,Luderitz,NA,-26.6481,15.1594,73.6,46,9,4.5,clear sky
40,Carnarvon,AU,-24.8667,113.6333,77.0,64,0,19.01,clear sky
41,Simbahan,PH,6.3032,120.5836,82.53,77,63,8.97,broken clouds
42,Ushuaia,AR,-54.8,-68.3,53.6,66,40,9.22,scattered clouds
43,Hithadhoo,MV,-0.6,73.0833,82.51,65,68,7.63,broken clouds
44,Hilo,US,19.7297,-155.09,80.6,57,75,11.5,broken clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,20,12.66,few clouds
46,Yar-Sale,RU,66.8333,70.8333,-2.45,99,91,7.47,overcast clouds
47,Srednekolymsk,RU,67.45,153.6833,25.23,77,55,8.28,broken clouds
48,Mataura,NZ,-46.1927,168.8643,63.0,74,67,3.0,broken clouds
49,Vaini,TO,-21.2,-175.2,80.6,78,40,9.22,scattered clouds
50,Namibe,AO,-15.1961,12.1522,81.45,68,0,2.62,clear sky
51,Muros,ES,42.7762,-9.0603,55.0,86,100,2.57,overcast clouds
52,Tonantins,BR,-2.8731,-67.8022,71.65,99,94,1.54,overcast clouds
53,Lyngseidet,NO,69.5763,20.2189,41.0,56,0,11.5,clear sky
54,Hermanus,ZA,-34.4187,19.2345,64.99,91,100,11.1,light rain
55,Chapais,CA,49.7834,-74.8492,42.8,65,90,5.75,overcast clouds
56,Albany,US,42.6001,-73.9662,51.8,58,90,6.91,overcast clouds
